tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
1209.00;E2D2_0;85.60;12.10;1146.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.191 emissions_flow_0.191;63.00;flow_0.191;0;675.81;0.93;0.00;9.89;car;;0;0.00;159547.41;1741.88;11.78;63.52;2.66;0.00;50903.03
1211.00;E2D2_0;85.60;12.70;1152.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.192 emissions_flow_0.192;59.00;flow_0.192;0;675.81;1.10;0.00;9.75;car;;0;0.00;164163.06;1801.21;12.13;65.95;2.82;0.00;52375.57
1217.00;E2D2_0;85.60;13.37;1158.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.193 emissions_flow_0.193;59.00;flow_0.193;0;675.81;1.07;0.00;9.70;car;;0;0.00;173287.49;1896.40;12.87;70.21;3.03;0.00;55286.50
1224.00;E2D2_0;85.60;13.85;1164.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.194 emissions_flow_0.194;60.00;flow_0.194;0;675.81;1.00;0.00;9.87;car;;0;0.00;177381.27;1968.31;13.32;72.44;3.17;0.00;56592.39
1240.00;E2D2_0;85.60;11.38;1170.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.195 emissions_flow_0.195;70.00;flow_0.195;0;675.81;0.84;0.00;10.66;car;;0;0.00;165013.95;1910.02;12.64;64.30;2.61;0.00;52647.20
1242.00;E2D2_0;85.60;12.76;1176.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.196 emissions_flow_0.196;66.00;flow_0.196;0;675.81;1.03;0.00;16.51;car;;0;0.00;174144.50;2093.12;13.69;70.08;3.07;0.00;55559.73
1249.00;E2D2_0;85.60;11.97;1182.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.197 emissions_flow_0.197;67.00;flow_0.197;0;675.81;0.87;0.00;10.18;car;;0;0.00;160145.40;1926.41;12.67;64.10;2.75;0.00;51093.36
1251.00;E2D2_0;85.60;13.62;1188.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.198 emissions_flow_0.198;63.00;flow_0.198;0;675.81;1.06;0.00;12.61;car;;0;0.00;182808.16;2065.79;13.74;73.68;3.20;0.00;58324.08
1265.00;E2D2_0;85.60;10.82;1194.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.199 emissions_flow_0.199;71.00;flow_0.199;0;675.81;0.83;0.00;10.65;car;;0;0.00;160653.76;2025.73;13.08;63.40;2.69;0.00;51255.60
1267.00;E2D2_0;85.60;12.77;1200.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.200 emissions_flow_0.200;67.00;flow_0.200;0;675.81;0.95;0.00;13.96;car;;0;0.00;172152.15;2093.09;13.72;69.59;3.06;0.00;54923.89
1273.00;E2D2_0;85.60;11.93;1206.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.201 emissions_flow_0.201;67.00;flow_0.201;0;675.81;0.87;0.00;10.09;car;;0;0.00;164929.78;1922.09;12.75;65.45;2.75;0.00;52620.04
1275.00;E2D2_0;85.60;13.56;1212.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.202 emissions_flow_0.202;63.00;flow_0.202;0;675.81;1.03;0.00;13.07;car;;0;0.00;177983.93;2036.00;13.47;71.78;3.11;0.00;56784.86
1278.00;E2D2_0;85.60;13.73;1218.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.203 emissions_flow_0.203;60.00;flow_0.203;0;675.81;1.11;0.00;9.82;car;;0;0.00;176063.26;1961.63;13.03;70.42;3.01;0.00;56172.39
